add-none,2,10,40,357242,8931,0
add-m,2,10,40,458924,11473,0
add-s,2,10,40,360157,9003,0
add-c,2,10,40,408589,10214,0
add-yield-none,2,10,40,426740,10668,0
add-yield-m,2,10,40,450331,11258,6
add-yield-s,2,10,40,406162,10154,2
add-yield-c,2,10,40,357722,8943,0
add-none,2,10,40,268966,6724,0
add-m,2,10,40,211499,5287,0
add-s,2,10,40,149035,3725,0
add-c,2,10,40,185963,4649,0
add-yield-none,2,10,40,187602,4690,2
add-yield-m,2,10,40,226591,5664,0
add-yield-s,2,10,40,178465,4461,5
add-yield-c,2,10,40,146273,3656,0
add-none,2,10,40,147693,3692,0
add-m,2,10,40,124626,3115,0
add-s,2,10,40,110400,2760,0
add-c,2,10,40,110443,2761,0
add-yield-none,2,10,40,131064,3276,0
add-yield-m,2,10,40,126947,3173,6
add-yield-s,2,10,40,127500,3187,2
add-yield-c,2,10,40,122014,3050,0
add-none,2,10,40,93905,2347,0
add-m,2,10,40,82995,2074,0
add-s,2,10,40,82683,2067,0
add-c,2,10,40,116821,2920,0
add-yield-none,2,10,40,115283,2882,8
add-yield-m,2,10,40,116769,2919,9
add-yield-s,2,10,40,129643,3241,4
add-yield-c,2,10,40,115339,2883,0
add-none,2,10,40,122266,3056,0
add-m,2,10,40,94692,2367,0
add-s,2,10,40,97396,2434,0
add-c,2,10,40,85386,2134,0
add-yield-none,2,10,40,86261,2156,1
add-yield-m,2,10,40,89714,2242,0
add-yield-s,2,10,40,91750,2293,3
add-yield-c,2,10,40,85403,2135,0
add-none,2,10,40,70852,1771,0
add-m,2,10,40,81235,2030,0
add-s,2,10,40,111626,2790,0
add-c,2,10,40,69689,1742,0
add-yield-none,2,10,40,85044,2126,2
add-yield-m,2,10,40,82147,2053,5
add-yield-s,2,10,40,82994,2074,5
add-yield-c,2,10,40,87043,2176,0
add-none,2,10,40,84738,2118,0
add-m,2,10,40,79455,1986,0
add-s,2,10,40,86083,2152,0
add-c,2,10,40,77230,1930,0
add-yield-none,2,10,40,85843,2146,0
add-yield-m,2,10,40,79595,1989,4
add-yield-s,2,10,40,91254,2281,2
add-yield-c,2,10,40,109054,2726,0
add-none,2,10,40,98000,2450,0
add-m,2,10,40,64071,1601,0
add-s,2,10,40,68702,1717,0
add-c,2,10,40,65724,1643,0
add-yield-none,2,10,40,82102,2052,0
add-yield-m,2,10,40,76445,1911,3
add-yield-s,2,10,40,76285,1907,2
add-yield-c,2,10,40,78511,1962,0
add-none,2,10,40,67427,1685,0
add-m,2,10,40,117849,2946,0
add-s,2,10,40,127588,3189,0
add-c,2,10,40,65204,1630,0
add-yield-none,2,10,40,88152,2203,3
add-yield-m,2,10,40,84024,2100,2
add-yield-s,2,10,40,97635,2440,0
add-yield-c,2,10,40,87500,2187,0
add-none,2,10,40,66045,1651,0
add-m,2,10,40,102700,2567,0
add-s,2,10,40,66726,1668,0
add-c,2,10,40,64901,1622,0
add-yield-none,2,10,40,73783,1844,3
add-yield-m,2,10,40,71276,1781,2
add-yield-s,2,10,40,78188,1954,1
add-yield-c,2,10,40,75970,1899,0
add-none,4,10,80,113257,1415,0
add-m,4,10,80,84539,1056,0
add-s,4,10,80,81282,1016,0
add-c,4,10,80,79940,999,0
add-yield-none,4,10,80,100864,1260,6
add-yield-m,4,10,80,124499,1556,4
add-yield-s,4,10,80,107367,1342,4
add-yield-c,4,10,80,114351,1429,0
add-none,4,10,80,80714,1008,0
add-m,4,10,80,84353,1054,0
add-s,4,10,80,91508,1143,0
add-c,4,10,80,81088,1013,0
add-yield-none,4,10,80,120314,1503,2
add-yield-m,4,10,80,128319,1603,3
add-yield-s,4,10,80,105824,1322,6
add-yield-c,4,10,80,111119,1388,0
add-none,4,10,80,98760,1234,0
add-m,4,10,80,92600,1157,0
add-s,4,10,80,105105,1313,0
add-c,4,10,80,99364,1242,0
add-yield-none,4,10,80,95897,1198,5
add-yield-m,4,10,80,102126,1276,3
add-yield-s,4,10,80,101999,1274,4
add-yield-c,4,10,80,99328,1241,0
add-none,4,10,80,84880,1061,0
add-m,4,10,80,93793,1172,0
add-s,4,10,80,99554,1244,0
add-c,4,10,80,89528,1119,0
add-yield-none,4,10,80,101387,1267,0
add-yield-m,4,10,80,100083,1251,2
add-yield-s,4,10,80,110769,1384,9
add-yield-c,4,10,80,136475,1705,0
add-none,4,10,80,103162,1289,-1
add-m,4,10,80,123813,1547,0
add-s,4,10,80,140824,1760,0
add-c,4,10,80,88477,1105,0
add-yield-none,4,10,80,99386,1242,5
add-yield-m,4,10,80,95968,1199,10
add-yield-s,4,10,80,93993,1174,10
add-yield-c,4,10,80,99540,1244,0
add-none,4,10,80,95119,1188,0
add-m,4,10,80,92239,1152,0
add-s,4,10,80,83881,1048,0
add-c,4,10,80,88569,1107,0
add-yield-none,4,10,80,99589,1244,1
add-yield-m,4,10,80,113454,1418,5
add-yield-s,4,10,80,104765,1309,-3
add-yield-c,4,10,80,112619,1407,0
